,Rural,Rural,Rural,Urban,Urban,Urban,Rural + Urban,Rural + Urban,Rural + Urban
State/UT,Male,Female,Person,Male,Female,Person,Male,Female,Person
Andhra Pradesh,84.8,59.1,71.8,81.1,34.1,56.8,83.6,51.3,67.1
Arunachal Pradesh,82.5,73.3,78,77.2,48.2,62.5,81.6,68.9,75.4
Assam,87.4,55.3,71.5,86.7,34.8,60.8,87.3,52.8,70.2
Bihar,79.2,33.5,56,71.9,18,46.3,78.5,32,55
Chhattisgarh,87.7,70.5,79.2,82.8,36.8,60.6,86.7,63.6,75.3
Delhi,80.3,18.2,53.1,76,21.3,51.4,76.1,21.2,51.5
Goa,83.8,33.1,59.6,83.5,37.7,61.2,83.6,35.8,60.5
Gujarat,88.8,63.8,76.7,84.6,33.5,60.4,87,50.9,69.6
Haryana,78.2,30.4,55.8,81,23.8,54.1,79.3,27.7,55.1
Himachal Pradesh,87.3,76.8,81.8,81.6,50.6,68.1,86.4,73.9,80
Jharkhand,84.9,61.3,72.7,75.3,21.5,48.8,82.8,53.4,67.8
Karnataka,83.7,49.9,66.9,81.4,33.5,58.2,82.8,43.6,63.5
Kerala,80.5,48.4,63.3,80.3,43.4,60.4,80.4,46,61.9
Madhya Pradesh,90.7,65,78.2,83.3,31,57.4,88.8,55.9,72.7
Maharashtra,81.5,53.6,68,83.1,32.7,58.9,82.2,44.4,63.9
Manipur,76.4,52.9,64.6,75.5,50.5,62.8,76.1,52.2,64.1
Meghalaya,85.5,79.2,82.3,72.1,50.9,61,83.3,74.3,78.7
Mizoram,74.1,48.7,62.2,71.3,45.3,58.4,72.9,47.1,60.5
Nagaland,88.9,71.3,79.9,79.4,54.3,67,86,66.3,76
Odisha,87.2,57.1,71.5,80.2,33.4,57,86,53.5,69.2
Punjab,85.3,39.2,62.3,84.9,27.6,57.4,85.1,34.8,60.4
Rajasthan,82.9,61.8,72,77.9,33.5,56.6,81.4,54.1,67.6
Sikkim,87.3,77.9,82.7,78.6,34.6,59.6,85,68.4,77.1
Tamil Nadu,83.9,58.5,70.8,82.5,33.6,57.4,83.3,47,64.6
Telangana,86.8,64,75,83.1,35.3,59.5,85.3,52.7,68.7
Tripura,85.5,56.8,71.4,81.1,36.1,57.6,84.7,52.9,69
Uttarakhand,82.2,55.4,68.4,81,26.3,53.4,81.9,47.7,64.4
Uttar Pradesh,82.6,40.4,60.9,81,18.8,50.8,82.2,35.8,58.6
West Bengal,88.5,48,67.9,87.5,36.8,61.8,88.2,44.7,66
Andaman & N. Island,89.9,60.2,75.3,90.6,41.8,67.3,90.2,52.1,71.7
Chandigarh,,,,86.2,36.4,62.4,86.2,36.4,62.4
Dadra & Nagar Haveli & Daman & Diu,86.8,73.3,80.4,92.2,26.4,65.4,90.2,47.4,71.5
Jammu & Kashmir,79.9,60.5,70.4,80.4,37.4,59.8,80,56,68.3
Ladakh,79.1,56.7,67.8,83.9,35.7,61.5,79.8,54,67
Lakshadweep,91,25.5,65.5,80.7,19.6,52.5,84,21.1,56.3
Puducherry,78.4,46.3,61.6,83.4,33.7,56.3,81.4,38.4,58.3
all India,84.3,51.2,67.6,81.9,31.2,57,83.5,45.2,64.3
